,Pk_ID,Match_No,Game,POINT,Shot_no,Played_by,Shot,Placement,SCORE,LUCKY,TIMEOUT,SetWonby,ErrorType,Player_A_Name,Player_B_Name,Date,AttackingNonAttacking,AttackingNonAttacking_New,Combination_field,BinaryofAttackShot,POINT_AttackCombination,AttackedFirst,SERVICE_BY,RECEIVE,WINNER_SHOT_BY,MISSED_SHOT_BY,MissedType,WON_BY,Lost_BY,SCOREA,SCOREB,shots1_3,shots2_4,Last3shots,LastAnd3rdLast,LastAnd3rdLast_Placement,Second_Last_Shot,Last_Shot,Third_Last_Shot,First_Shot,Second_Shot,pointon2ndshot,pointon3rdshot,pointon4thshot,Point2ServiceByName,Point2Shot,Point2placement,Point3RerviceByName,Point3Shot,Point3placement,Serve_Place,Second_Last_placement,Second_Last_Reverse_Placement,WinnerShot,Unconditional,Conditional,WinType,Loston4th_1stshot,Loston4th_2ndshot,Loston4th_3rdshot,Loston4th_4thshot,Errorplacement,PlayerType,PlacementR_L,ErrorPlacementR_L,PlayingStyle,RubberCombination,Opponent,Opponent_Player_Type,Fourth_Last_Second_Last_Placement,Movement,Movement_new,PlayerAType,PlayerBType,Placement_A_B,X,Y,WinnerShotGTL,Gender,World_Rank,Reverse_Placement,Reverse_Row_ID,PLAYERA_ID,PLAYERB_ID,primary_key,ProcessStatus,ProcessMessage,ProcessDatetime,DataSource,ShotCodeIds,DataLock,UploadId,MatchType
66,67,3,2,2,1,Manush,FH-BSS,CS,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Serve,3-2-2,0,1,,Y,,,,,,,99,99,,,,,,,,,FH-BSS,FH-DP,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,CS,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,,Lefty,Lefty,CSA,0,0,FH-BSS,M,,CS,2,SPO_TT_2,SPO_TT_13,49341,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
67,68,3,2,2,2,Wesley,FH-DP,NET,1-1,,,,Unforced,Wesley,Manush,2018-09-28,Non Attacking Shot,Non Attacking Shot,3-2-2,0,0,,,Y,,Wesley,NET,Manush,Wesley,0,1,,,,,,FH-BSS,FH-DP,,FH-BSS,FH-DP,1,0,0,Manush,FH-BSS,CS,,,,,CS,CS,FH-BSS,,FH-BSS,Conditional,,,,,CS,Lefty,NET,CS,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,,Lefty,Lefty,NETB,0,0,,M,,NET,1,SPO_TT_2,SPO_TT_13,49342,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
68,69,3,2,3,1,Wesley,FH-SBS,BHH,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Serve,3-2-3,0,1,,Y,,,,,,,99,99,,,,,,,,,FH-SBS,FH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,FHH,,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,Vertical Movement,Lefty,Lefty,FHHB,0,0,,M,,FHH,4,SPO_TT_2,SPO_TT_13,49343,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
69,70,3,2,3,2,Manush,FH-P,BHL,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Non Attacking Shot,3-2-3,0,0,,,Y,,,,,,99,99,,,,,,,,,FH-SBS,FH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,FHL,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,Vertical Movement,Lefty,Lefty,FHLA,0,0,,M,,FHL,3,SPO_TT_2,SPO_TT_13,49344,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
70,71,3,2,3,3,Wesley,FH-TS,BHL,,,,,,Wesley,Manush,2018-09-28,Attacking Shot,Attacking Shot,3-2-3,1,1,,,,,,,,,99,99,FH-SBS-FH-TS,,,,,,,,FH-SBS,FH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,FHL,,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,Vertical Movement,Lefty,Lefty,FHLB,0,0,FH-TS,M,,FHL,2,SPO_TT_2,SPO_TT_13,49345,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
71,72,3,2,3,4,Manush,BH-BK,MISSED,2-1,,,,Unforced,Wesley,Manush,2018-09-28,Non Attacking Shot,Non Attacking Shot,3-2-3,0,0,Wesley,,,,Manush,MISSED,Wesley,Manush,1,0,,FH-P-BH-BK,FH-P-FH-TS-BH-BK,FH-P-BH-BK,BHH-BHL,FH-TS,BH-BK,FH-P,FH-SBS,FH-P,0,0,1,,,,,,,,BHL,FHL,FH-TS,,FH-TS,Conditional,FH-SBS,FH-P,FH-TS,BH-BK,FHL,Lefty,MISSED,FHL,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,BHH-BHL,Vertical Movement,Vertical Movement,Lefty,Lefty,MISSEDA,0,0,,M,,MISSED,1,SPO_TT_2,SPO_TT_13,49346,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
72,73,3,2,4,1,Wesley,BH-NSL,FHH,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Serve,3-2-4,0,1,,Y,,,,,,,99,99,,,,,,,,,BH-NSL,FH-TS,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,BHH,,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,,Lefty,Lefty,BHHB,0,0,,M,,BHH,3,SPO_TT_2,SPO_TT_13,49347,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
73,74,3,2,4,2,Manush,FH-TS,BHL,,,,,,Wesley,Manush,2018-09-28,Attacking Shot,Attacking Shot,3-2-4,1,1,,,Y,,,,,,99,99,,,,,,,,,BH-NSL,FH-TS,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,FHL,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,,Lefty,Lefty,FHLA,0,0,FH-TS,M,,FHL,2,SPO_TT_2,SPO_TT_13,49348,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
74,75,3,2,4,3,Wesley,BH-BK,MISSED,3-1,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Non Attacking Shot,3-2-4,0,0,Manush,,,,Wesley,MISSED,Manush,Wesley,0,1,BH-NSL-BH-BK,,BH-NSL-FH-TS-BH-BK,BH-NSL-BH-BK,,FH-TS,BH-BK,BH-NSL,BH-NSL,FH-TS,0,1,0,,,,Manush,FH-TS,BHL,BH-NSL-FHH,BHL,FHL,FH-TS,,FH-TS,Conditional,,,,,FHL,Lefty,MISSED,FHL,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,,Lefty,Lefty,MISSEDB,0,0,,M,,MISSED,1,SPO_TT_2,SPO_TT_13,49349,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
75,76,3,2,5,1,Manush,FH-BSS,CS,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Serve,3-2-5,0,1,,Y,,,,,,,99,99,,,,,,,,,FH-BSS,BH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,CS,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,Lateral Movement,Lefty,Lefty,CSA,0,0,,M,,CS,6,SPO_TT_2,SPO_TT_13,49350,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
