,Match_No,Game,POINT,Shot_no,Played_by,Shot,ShotCodeIds,Placement,LUCKY,TIMEOUT,ErrorType,Player_A_Name,Player_B_Name,Date,PlayerType,PlayingStyle,RubberCombination,Opponent,Opponent_Player_Type,Gender,World_Rank,PLAYERA_ID,PLAYERB_ID,PlayerAType,PlayerBType,ProcessStatus,DataSource,DataLock,UploadId,Movement,Movement_new,X,Y,ProcessMessage,ProcessDatetime,MatchType,primary_key,AttackingNonAttacking,AttackingNonAttacking_New,SERVICE_BY,RECEIVE,Combination_field,BinaryofAttackShot,PlacementR_L,ErrorPlacementR_L,shots1_3,shots2_4,Reverse_Placement,last3_shots,lastAndThirdLast,lastAndThirdLast_Placement,Missed_Shot_By,Second_Last_Shot,Last_Shot,Third_Last_Shot,First_Shot,Second_Last_Reverse_Placement,SetWonby,Second_Shot,SCORE,SCOREA,SCOREB,pointon2ndshot,pointon3ndshot,pointon4ndshot,Lost_by,WON_BY,MISSED_SHOT_BY,WINNER_SHOT_BY,MissedType,AttackedFirst,Point3ServiceByName,Point3Shot,Point3placement,Point2ServiceByName,Point2Shot,Point2Placement,Serve_Place,Second_Last_Placement,WinnerShot,Loston4th_1stshot,Loston4th_2ndshot,Loston4th_3rdshot,Loston4th_4thshot,Errorplacement,Fourth_Last_Second_Last_Placement,WinnerShotGTL,Unconditional,Conditional,WinType,POINT_AttackCombination,Reverse_Row_ID
128,717,2,2,1,Shubh Goel,FH-SBL,"11,27,14",CH,,,,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Payas Jain,Righty,M,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,Non Attacking Shot,,Y,,717-2-2,0,CH,CH,,,CH,,,,,,,,FH-SBL,,,BN-FP,,99,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,5
129,717,2,2,2,Payas Jain,BN-FP,",3",BHL,,,,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Shubh Goel,Righty,M,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,Attacking Shot,,,Y,717-2-2,1,BHL,BHL,,,FHL,,,,,,,,,,,0,,99,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,4
130,717,2,2,3,Shubh Goel,BH-BK,"1,4",CH,,,,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Payas Jain,Righty,M,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,Non Attacking Shot,,,,717-2-2,0,CH,CH,FH-SBL-BH-BK,,CH,,,,,,,,,,,0,,99,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
131,717,2,2,4,Payas Jain,FH-TS,"11,33",CL,,,,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Shubh Goel,Righty,M,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,Attacking Shot,,,,717-2-2,1,CL,CL,,BN-FP-FH-TS,CL,,,,,,,,,,,0,,99,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,FH-TS,,,,0,2
132,717,2,2,5,Shubh Goel,BH-BK,"1,4",NET,,,Unforced,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Payas Jain,Righty,M,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,Non Attacking Shot,,,,717-2-2,0,NET,NET,,,NET,BH-BK-FH-TS-BH-BK,BH-BK-BH-BK,BHL-CL,Shubh Goel,FH-TS,BH-BK,BH-BK,,CL,,0,2-0,1,0,0,0,0,Shubh Goel,Payas Jain,Shubh Goel,,NET,Payas Jain,,,,,,,,CL,FH-TS,,,,,CL,CL,,,FH-TS,Conditional,0,1
133,717,2,3,0,Payas Jain,SB,34,BHL,,,,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Shubh Goel,Righty,,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,,Service Bounce,,,717-2-3,0,BHL,BHL,,,BHL,,,,,,,,,,,0,,99,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,4
134,717,2,3,1,Payas Jain,FH-SSS,"11,26,24",FHS,,,,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Shubh Goel,Righty,M,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,Non Attacking Shot,,Y,,717-2-3,0,FHS,FHS,,,BHS,,,,,,,,FH-SSS,,,FH-LP,,99,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
135,717,2,3,2,Shubh Goel,FH-LP,"11,15",FHH,,,,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Payas Jain,Righty,M,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,Attacking Shot,,,Y,717-2-3,1,FHH,FHH,,,BHH,,,,,,,,,,,0,,99,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,FH-LP,,,,1,2
136,717,2,3,3,Payas Jain,FH-TS,"11,33",NET,,,Unforced,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Shubh Goel,Righty,M,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,Attacking Shot,,,,717-2-3,1,NET,NET,FH-SSS-FH-TS,,NET,FH-SSS-FH-LP-FH-TS,FH-SSS-FH-TS,,Payas Jain,FH-LP,FH-TS,FH-SSS,,BHH,,0,2-1,0,1,0,1,0,Payas Jain,Shubh Goel,Payas Jain,,NET,Shubh Goel,Shubh Goel,FH-LP,FHH,,,,FH-SSS-FHS,FHH,FH-LP,,,,,FHH,FHH,,,FH-LP,Conditional,0,1
137,717,2,4,0,Payas Jain,SB,34,BHL,,,,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Shubh Goel,Righty,,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,,Service Bounce,,,717-2-4,0,BHL,BHL,,,BHL,,,,,,,,,,,0,,99,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
